destination_country,destination_partner,txn_count,success_count,failure_count,success_percentage,failure_percentage
Albania,#####,78,20,58,25.641,74.359
Argentina,#####,41,12,29,29.268,70.732
Argentina,#####,23,6,17,26.087,73.913
Argentina,#####,42,14,28,33.333,66.667
Argentina,#####,117,32,85,27.35,72.65
Australia,#####,15,1,14,6.667,93.333
Australia,#####,37,32,5,86.486,13.514
Australia,#####,5949,5888,61,98.975,1.025
Australia,#####,814,414,400,50.86,49.14
Austria,#####,50496,50159,337,99.333,0.667
Austria,#####,8490,7937,553,93.486,6.514
Azerbaijan,#####,5,3,2,60,40
Azerbaijan,#####,14,13,1,92.857,7.143
Bahrain,#####,1,1,0,100,0
Bahrain,#####,73,58,15,79.452,20.548
Bangladesh,#####,102923,102047,876,99.149,0.851
Bangladesh,#####,131818,131474,344,99.739,0.261
Bangladesh,#####,2897159,2873022,24137,99.167,0.833
Bangladesh,#####,328042,326610,1432,99.563,0.437
Bangladesh,#####,474382,472244,2138,99.549,0.451
Bangladesh,#####,4,1,3,25,75
Bangladesh,#####,251458,248426,3032,98.794,1.206
Bangladesh,#####,341506,338554,2952,99.136,0.864
Bangladesh,#####,81624,80943,681,99.166,0.834
Bangladesh,#####,9,9,0,100,0
Bangladesh,#####,68162,66815,1347,98.024,1.976
Bangladesh,#####,129312,128738,574,99.556,0.444
Bangladesh,#####,470710,467989,2721,99.422,0.578
Bangladesh,#####,597086,592736,4350,99.271,0.729
Bangladesh,#####,141,136,5,96.454,3.546
Bangladesh,#####,34331,32967,1364,96.027,3.973
Bangladesh,#####,147521,147181,340,99.77,0.23
Bangladesh,#####,1372,1357,15,98.907,1.093
Bangladesh,#####,5040,4759,281,94.425,5.575
Bangladesh,#####,12,12,0,100,0
Bangladesh,#####,1144,1130,14,98.776,1.224
Bangladesh,#####,67702,67684,18,99.973,0.027
Bangladesh,#####,7045,7044,1,99.986,0.014
Bangladesh,#####,1499,1464,35,97.665,2.335
Bangladesh,#####,789155,786353,2802,99.645,0.355
Bangladesh,#####,4139,4098,41,99.009,0.991
Belgium,#####,20,16,4,80,20
Belgium,#####,445257,442065,3192,99.283,0.717
Belgium,#####,98898,97152,1746,98.235,1.765
Benin,#####,27,18,9,66.667,33.333
Benin,#####,913727,902269,11458,98.746,1.254
Benin,#####,2804,2787,17,99.394,0.606
Benin,#####,755270,731905,23365,96.906,3.094
Benin,#####,13915,11954,1961,85.907,14.093
Bolivia (Plurinational State of),#####,35,14,21,40,60
Bolivia (Plurinational State of),#####,160,143,17,89.375,10.625
Bolivia (Plurinational State of),#####,20,11,9,55,45
Botswana,#####,213,148,65,69.484,30.516
Brazil,#####,260,172,88,66.154,33.846
Brazil,#####,562,8,554,1.423,98.577
Brazil,#####,25,2,23,8,92
Brazil,#####,54,17,37,31.481,68.519
Brazil,#####,299722,281631,18091,93.964,6.036
Brazil,#####,2186,1727,459,79.003,20.997
Brazil,#####,48,8,40,16.667,83.333
Brazil,#####,59,30,29,50.847,49.153
Brunei Darussalam,#####,73,36,37,49.315,50.685
Bulgaria,#####,2,1,1,50,50
Bulgaria,#####,5082,5048,34,99.331,0.669
Bulgaria,#####,2430,1891,539,77.819,22.181
Bulgaria,#####,7,5,2,71.429,28.571
Burkina Faso,#####,77,65,12,84.416,15.584
Burkina Faso,#####,15,11,4,73.333,26.667
Burkina Faso,#####,432,298,134,68.981,31.019
Burkina Faso,#####,5842,5223,619,89.404,10.596
Burkina Faso,#####,40387,39911,476,98.821,1.179
Burkina Faso,#####,3218,2463,755,76.538,23.462
Burundi,#####,4992,4918,74,98.518,1.482
Cambodia,#####,2516,2274,242,90.382,9.618
Cambodia,#####,113,46,67,40.708,59.292
Cameroon,#####,2011478,1992102,19376,99.037,0.963
Cameroon,#####,589991,585585,4406,99.253,0.747
Cameroon,#####,336890,334043,2847,99.155,0.845
Cameroon,#####,94037,91894,2143,97.721,2.279
Cameroon,#####,3578,2956,622,82.616,17.384
Canada,#####,4320,2562,1758,59.306,40.694
Canada,#####,1773,1285,488,72.476,27.524
Central African Republic,#####,50,30,20,60,40
Chad,#####,111,56,55,50.45,49.55
Chile,#####,15,4,11,26.667,73.333
Chile,#####,18,2,16,11.111,88.889
Chile,#####,59,16,43,27.119,72.881
Chile,#####,54,10,44,18.519,81.481
China,#####,59324,53721,5603,90.555,9.445
China,#####,746,279,467,37.399,62.601
China,#####,11,11,0,100,0
China,#####,1,1,0,100,0
Colombia,#####,60,39,21,65,35
Colombia,#####,16599,15151,1448,91.277,8.723
Colombia,#####,197,79,118,40.102,59.898
Colombia,#####,17,3,14,17.647,82.353
Colombia,#####,283,172,111,60.777,39.223
Colombia,#####,3776,2900,876,76.801,23.199
Colombia,#####,32582,25945,6637,79.63,20.37
Colombia,#####,9,2,7,22.222,77.778
Comoros,#####,48,40,8,83.333,16.667
Congo,#####,97,74,23,76.289,23.711
Congo,#####,11,2,9,18.182,81.818
Congo,#####,78,63,15,80.769,19.231
"Congo, Democratic Republic of the",#####,353334,336162,17172,95.14,4.86
"Congo, Democratic Republic of the",#####,53285,51483,1802,96.618,3.382
"Congo, Democratic Republic of the",#####,24,24,0,100,0
"Congo, Democratic Republic of the",#####,61968,60960,1008,98.373,1.627
"Congo, Democratic Republic of the",#####,1273,1109,164,87.117,12.883
Costa Rica,#####,25,21,4,84,16
Costa Rica,#####,22,12,10,54.545,45.455
C̫te d'Ivoire,#####,352277,335128,17149,95.132,4.868
C̫te d'Ivoire,#####,9683,8691,992,89.755,10.245
C̫te d'Ivoire,#####,215235,209228,6007,97.209,2.791
C̫te d'Ivoire,#####,52,43,9,82.692,17.308
C̫te d'Ivoire,#####,225559,212801,12758,94.344,5.656
C̫te d'Ivoire,#####,229627,216320,13307,94.205,5.795
C̫te d'Ivoire,#####,120647,119375,1272,98.946,1.054
C̫te d'Ivoire,#####,2,2,0,100,0
C̫te d'Ivoire,#####,113,40,73,35.398,64.602
C̫te d'Ivoire,#####,44718,40290,4428,90.098,9.902
Croatia,#####,82,80,2,97.561,2.439
Croatia,#####,516,444,72,86.047,13.953
Cyprus,#####,6,6,0,100,0
Cyprus,#####,575,571,4,99.304,0.696
Cyprus,#####,275,244,31,88.727,11.273
Czechia,#####,2,1,1,50,50
Czechia,#####,372,370,2,99.462,0.538
Czechia,#####,1009,977,32,96.829,3.171
Denmark,#####,67,65,2,97.015,2.985
Denmark,#####,284,219,65,77.113,22.887
Dominican Republic,#####,52,30,22,57.692,42.308
Ecuador,#####,70,27,43,38.571,61.429
Ecuador,#####,11,11,0,100,0
Ecuador,#####,117,27,90,23.077,76.923
Ecuador,#####,47,1,46,2.128,97.872
Ecuador,#####,37,15,22,40.541,59.459
Egypt,#####,8,3,5,37.5,62.5
Egypt,#####,328254,315100,13154,95.993,4.007
Egypt,#####,29,2,27,6.897,93.103
El Salvador,#####,15,13,2,86.667,13.333
El Salvador,#####,30,19,11,63.333,36.667
Equatorial Guinea,#####,28,18,10,64.286,35.714
Estonia,#####,2,2,0,100,0
Estonia,#####,9830,8892,938,90.458,9.542
Estonia,#####,757,726,31,95.905,4.095
Ethiopia,#####,91,64,27,70.33,29.67
Ethiopia,#####,13137,12771,366,97.214,2.786
Ethiopia,#####,14,14,0,100,0
Ethiopia,#####,116,72,44,62.069,37.931
Ethiopia,#####,15,7,8,46.667,53.333
Fiji,#####,2,2,0,100,0
Finland,#####,3,2,1,66.667,33.333
Finland,#####,19407,19249,158,99.186,0.814
Finland,#####,2403,2218,185,92.301,7.699
France,#####,21,13,8,61.905,38.095
France,#####,859239,855273,3966,99.538,0.462
France,#####,147513,142819,4694,96.818,3.182
France,#####,4,1,3,25,75
French Guiana,#####,48,41,7,85.417,14.583
Gabon,#####,2,2,0,100,0
Gabon,#####,230211,225591,4620,97.993,2.007
Gambia,#####,35,6,29,17.143,82.857
Gambia,#####,12969,12911,58,99.553,0.447
Gambia,#####,5787,5183,604,89.563,10.437
Georgia,#####,48,29,19,60.417,39.583
Georgia,#####,8,5,3,62.5,37.5
Georgia,#####,12,12,0,100,0
Germany,#####,22,16,6,72.727,27.273
Germany,#####,371187,368748,2439,99.343,0.657
Germany,#####,101503,89174,12329,87.854,12.146
Ghana,#####,26647,26625,22,99.917,0.083
Ghana,#####,265583,263875,1708,99.357,0.643
Ghana,#####,5201,5011,190,96.347,3.653
Ghana,#####,40,40,0,100,0
Ghana,#####,34,33,1,97.059,2.941
Ghana,#####,2113417,2072259,41158,98.053,1.947
Ghana,#####,5037897,4856620,181277,96.402,3.598
Ghana,#####,1755,1666,89,94.929,5.071
Ghana,#####,177539,175412,2127,98.802,1.198
Ghana,#####,47986,45803,2183,95.451,4.549
Ghana,#####,14629,9620,5009,65.76,34.24
Ghana,#####,4812,3842,970,79.842,20.158
Ghana,#####,8,8,0,100,0
Ghana,#####,2883775,2847881,35894,98.755,1.245
Greece,#####,4,4,0,100,0
Greece,#####,351,345,6,98.291,1.709
Greece,#####,1750,1609,141,91.943,8.057
Guadeloupe,#####,38,33,5,86.842,13.158
Guatemala,#####,10,10,0,100,0
Guatemala,#####,57,21,36,36.842,63.158
Guinea,#####,12039,11380,659,94.526,5.474
Guinea,#####,1299,1140,159,87.76,12.24
Guinea,#####,9,2,7,22.222,77.778
Guinea-Bissau,#####,15534,14168,1366,91.206,8.794
Haiti,#####,420912,395323,25589,93.921,6.079
Honduras,#####,4,4,0,100,0
Honduras,#####,64,24,40,37.5,62.5
Hong Kong,#####,203,52,151,25.616,74.384
Hungary,#####,210,201,9,95.714,4.286
Hungary,#####,778,761,17,97.815,2.185
Iceland,#####,8,8,0,100,0
Iceland,#####,43,43,0,100,0
India,#####,8876280,8716511,159769,98.2,1.8
India,#####,816553,793841,22712,97.219,2.781
India,#####,1,1,0,100,0
India,#####,295784,294576,1208,99.592,0.408
India,#####,25747,25732,15,99.942,0.058
India,#####,4847740,4743953,103787,97.859,2.141
Indonesia,#####,12203,11804,399,96.73,3.27
Indonesia,#####,6028,5922,106,98.242,1.758
Indonesia,#####,40,23,17,57.5,42.5
Indonesia,#####,257224,252634,4590,98.216,1.784
Indonesia,#####,9,4,5,44.444,55.556
Indonesia,#####,38,33,5,86.842,13.158
Indonesia,#####,410759,400958,9801,97.614,2.386
Iraq,#####,13,1,12,7.692,92.308
Ireland,#####,10,9,1,90,10
Ireland,#####,10542,10491,51,99.516,0.484
Ireland,#####,2677,2603,74,97.236,2.764
Israel,#####,22,8,14,36.364,63.636
Israel,#####,59,38,21,64.407,35.593
Italy,#####,1,1,0,100,0
Italy,#####,305220,300749,4471,98.535,1.465
Italy,#####,92462,87477,4985,94.609,5.391
Italy,#####,1,1,0,100,0
Jamaica,#####,68,43,25,63.235,36.765
Japan,#####,60,28,32,46.667,53.333
Japan,#####,4,4,0,100,0
Jordan,#####,79,7,72,8.861,91.139
Kazakhstan,#####,1,1,0,100,0
Kenya,#####,30,15,15,50,50
Kenya,#####,33,25,8,75.758,24.242
Kenya,#####,23785,23775,10,99.958,0.042
Kenya,#####,64369,57250,7119,88.94,11.06
Kenya,#####,243681,239140,4541,98.136,1.864
Kenya,#####,12,7,5,58.333,41.667
Kenya,#####,343996,331102,12894,96.252,3.748
Kenya,#####,7,1,6,14.286,85.714
Kenya,#####,5504195,5462919,41276,99.25,0.75
"Korea, Republic of",#####,16,16,0,100,0
"Korea, Republic of",#####,705,396,309,56.17,43.83
Kuwait,#####,6,5,1,83.333,16.667
Lao People's Democratic Republic,#####,7,4,3,57.143,42.857
Latvia,#####,40216,40150,66,99.836,0.164
Latvia,#####,3645,3603,42,98.848,1.152
Lebanon,#####,40,20,20,50,50
Lebanon,#####,37,22,15,59.459,40.541
Lebanon,#####,18,18,0,100,0
Lesotho,#####,1826,1677,149,91.84,8.16
Liberia,#####,4085174,4011934,73240,98.207,1.793
Liberia,#####,31,31,0,100,0
Liechtenstein,#####,6,2,4,33.333,66.667
Liechtenstein,#####,10,10,0,100,0
Lithuania,#####,6,4,2,66.667,33.333
Lithuania,#####,203494,202474,1020,99.499,0.501
Lithuania,#####,58407,57890,517,99.115,0.885
Luxembourg,#####,10341,10240,101,99.023,0.977
Luxembourg,#####,2689,2615,74,97.248,2.752
Madagascar,#####,8,4,4,50,50
Madagascar,#####,2915,2851,64,97.804,2.196
Madagascar,#####,26,16,10,61.538,38.462
Malawi,#####,2058,1847,211,89.747,10.253
Malawi,#####,28554,26471,2083,92.705,7.295
Malawi,#####,5879,5473,406,93.094,6.906
Malawi,#####,507,493,14,97.239,2.761
Malaysia,#####,242335,241296,1039,99.571,0.429
Malaysia,#####,108573,106692,1881,98.268,1.732
Malaysia,#####,6,3,3,50,50
Malaysia,#####,235872,231898,3974,98.315,1.685
Malaysia,#####,36206,34571,1635,95.484,4.516
Mali,#####,200406,192771,7635,96.19,3.81
Mali,#####,256,201,55,78.516,21.484
Mali,#####,32,23,9,71.875,28.125
Mali,#####,407528,401197,6331,98.446,1.554
Mali,#####,474024,457209,16815,96.453,3.547
Mali,#####,1080700,1058809,21891,97.974,2.026
Mali,#####,13,9,4,69.231,30.769
Mali,#####,8,8,0,100,0
Malta,#####,5,4,1,80,20
Malta,#####,438,430,8,98.174,1.826
Malta,#####,418,393,25,94.019,5.981
Mauritania,#####,39,33,6,84.615,15.385
Mexico,#####,968,642,326,66.322,33.678
Mexico,#####,69,61,8,88.406,11.594
Mexico,#####,110,73,37,66.364,33.636
Mexico,#####,140,98,42,70,30
Mexico,#####,338,279,59,82.544,17.456
Monaco,#####,13,13,0,100,0
Monaco,#####,38,32,6,84.211,15.789
Mongolia,#####,42884,41975,909,97.88,2.12
Morocco,#####,1829,1604,225,87.698,12.302
Mozambique,#####,14,7,7,50,50
Mozambique,#####,592969,590361,2608,99.56,0.44
Mozambique,#####,779349,758793,20556,97.362,2.638
Myanmar,#####,177,20,157,11.299,88.701
Myanmar,#####,23,23,0,100,0
Nepal,#####,253,237,16,93.676,6.324
Nepal,#####,15715,15430,285,98.186,1.814
Nepal,#####,7701,7315,386,94.988,5.012
Nepal,#####,24128,23948,180,99.254,0.746
Nepal,#####,25962,25778,184,99.291,0.709
Nepal,#####,2600,2568,32,98.769,1.231
Nepal,#####,7032,6956,76,98.919,1.081
Nepal,#####,109,95,14,87.156,12.844
Netherlands,#####,35,23,12,65.714,34.286
Netherlands,#####,135499,134676,823,99.393,0.607
Netherlands,#####,29756,29273,483,98.377,1.623
Netherlands,#####,9,7,2,77.778,22.222
New Zealand,#####,41,25,16,60.976,39.024
Nicaragua,#####,34,20,14,58.824,41.176
Niger,#####,5,5,0,100,0
Nigeria,#####,62,40,22,64.516,35.484
Nigeria,#####,22685,20252,2433,89.275,10.725
Nigeria,#####,369,338,31,91.599,8.401
Nigeria,#####,2973,2750,223,92.499,7.501
Nigeria,#####,100756,96684,4072,95.959,4.041
Nigeria,#####,9247,8600,647,93.003,6.997
Nigeria,#####,55274,53910,1364,97.532,2.468
Nigeria,#####,49430,46790,2640,94.659,5.341
Nigeria,#####,5,5,0,100,0
Nigeria,#####,8,8,0,100,0
Nigeria,#####,44,26,18,59.091,40.909
Norway,#####,58,58,0,100,0
Norway,#####,202,194,8,96.04,3.96
Pakistan,#####,134157,132609,1548,98.846,1.154
Pakistan,#####,69176,67091,2085,96.986,3.014
Pakistan,#####,19035,18638,397,97.914,2.086
Pakistan,#####,10636,9553,1083,89.818,10.182
Pakistan,#####,225508,219304,6204,97.249,2.751
Pakistan,#####,30538,25870,4668,84.714,15.286
Panama,#####,20,3,17,15,85
Paraguay,#####,17,10,7,58.824,41.176
Paraguay,#####,34,3,31,8.824,91.176
Peru,#####,4,4,0,100,0
Peru,#####,118,24,94,20.339,79.661
Peru,#####,90,36,54,40,60
Peru,#####,110,15,95,13.636,86.364
Peru,#####,20,20,0,100,0
Philippines,#####,3931781,3847437,84344,97.855,2.145
Philippines,#####,81415,79304,2111,97.407,2.593
Philippines,#####,7656,7540,116,98.485,1.515
Philippines,#####,5295,5010,285,94.618,5.382
Philippines,#####,14189492,13959349,230143,98.378,1.622
Philippines,#####,31240,30546,694,97.778,2.222
Philippines,#####,275809,275035,774,99.719,0.281
Philippines,#####,14,7,7,50,50
Philippines,#####,2206961,2114163,92798,95.795,4.205
Poland,#####,3,2,1,66.667,33.333
Poland,#####,10,1,9,10,90
Poland,#####,1513,1423,90,94.052,5.948
Poland,#####,1659,1306,353,78.722,21.278
Portugal,#####,118,109,9,92.373,7.627
Portugal,#####,393134,390622,2512,99.361,0.639
Portugal,#####,96858,94713,2145,97.785,2.215
Qatar,#####,9,9,0,100,0
Romania,#####,5,5,0,100,0
Romania,#####,918,878,40,95.643,4.357
Romania,#####,6635,6395,240,96.383,3.617
Russian Federation,#####,26,10,16,38.462,61.538
Rwanda,#####,1000,931,69,93.1,6.9
Rwanda,#####,149603,147625,1978,98.678,1.322
Samoa,#####,3,3,0,100,0
Senegal,#####,29489,27475,2014,93.17,6.83
Senegal,#####,313245,284543,28702,90.837,9.163
Senegal,#####,9458,9077,381,95.972,4.028
Senegal,#####,95,90,5,94.737,5.263
Senegal,#####,128,70,58,54.688,45.313
Senegal,#####,342064,336733,5331,98.442,1.558
Senegal,#####,62146,59314,2832,95.443,4.557
Senegal,#####,1357023,1284800,72223,94.678,5.322
Senegal,#####,3,1,2,33.333,66.667
Senegal,#####,1564395,1518279,46116,97.052,2.948
Senegal,#####,263,183,80,69.582,30.418
Senegal,#####,6675,6153,522,92.18,7.82
Sierra Leone,#####,6571,6510,61,99.072,0.928
Sierra Leone,#####,22612,21260,1352,94.021,5.979
Singapore,#####,12,12,0,100,0
Singapore,#####,366,285,81,77.869,22.131
Singapore,#####,6,4,2,66.667,33.333
Singapore,#####,12,7,5,58.333,41.667
Singapore,#####,11,7,4,63.636,36.364
Slovakia,#####,6,4,2,66.667,33.333
Slovakia,#####,141,137,4,97.163,2.837
Slovakia,#####,639,583,56,91.236,8.764
Slovenia,#####,44,44,0,100,0
Slovenia,#####,202,167,35,82.673,17.327
South Africa,#####,208,115,93,55.288,44.712
South Africa,#####,11,6,5,54.545,45.455
South Africa,#####,89599,79685,9914,88.935,11.065
South Africa,#####,267,60,207,22.472,77.528
South Sudan,#####,876,543,333,61.986,38.014
South Sudan,#####,5391,5272,119,97.793,2.207
South Sudan,#####,4,4,0,100,0
Spain,#####,37,33,4,89.189,10.811
Spain,#####,805718,798407,7311,99.093,0.907
Spain,#####,189532,186793,2739,98.555,1.445
Spain,#####,5,2,3,40,60
Sri Lanka,#####,7931,7531,400,94.956,5.044
Sri Lanka,#####,20381,19275,1106,94.573,5.427
Sweden,#####,1,1,0,100,0
Sweden,#####,263,259,4,98.479,1.521
Sweden,#####,663,643,20,96.983,3.017
Switzerland,#####,314,311,3,99.045,0.955
Switzerland,#####,928,883,45,95.151,4.849
Tajikistan,#####,6,3,3,50,50
Tanzania,#####,220588,217944,2644,98.801,1.199
Tanzania,#####,12679,12595,84,99.337,0.663
Tanzania,#####,28168,27309,859,96.95,3.05
Tanzania,#####,3,2,1,66.667,33.333
Tanzania,#####,34875,34768,107,99.693,0.307
Tanzania,#####,1735355,1724842,10513,99.394,0.606
Tanzania,#####,1099593,1096819,2774,99.748,0.252
Thailand,#####,711889,707388,4501,99.368,0.632
Thailand,#####,111597,109895,1702,98.475,1.525
Thailand,#####,276643,273560,3083,98.886,1.114
Thailand,#####,7889,7326,563,92.863,7.137
Togo,#####,171,151,20,88.304,11.696
Togo,#####,704,532,172,75.568,24.432
Togo,#####,3947,3363,584,85.204,14.796
Tunisia,#####,1929,1830,99,94.868,5.132
Turkey,#####,1157,1123,34,97.061,2.939
Turkey,#####,24172,23449,723,97.009,2.991
Uganda,#####,2631989,2607131,24858,99.056,0.944
Uganda,#####,74277,72971,1306,98.242,1.758
Uganda,#####,211306,207023,4283,97.973,2.027
Uganda,#####,2081317,2063065,18252,99.123,0.877
Uganda,#####,8,8,0,100,0
Uganda,#####,31432,30094,1338,95.743,4.257
Uganda,#####,8521,8113,408,95.212,4.788
Uganda,#####,158,124,34,78.481,21.519
Ukraine,#####,9632,9370,262,97.28,2.72
Ukraine,#####,78,32,46,41.026,58.974
United Arab Emirates,#####,2033,1409,624,69.306,30.694
United Arab Emirates,#####,43,21,22,48.837,51.163
United Arab Emirates,#####,24,24,0,100,0
United Arab Emirates,#####,87,9,78,10.345,89.655
United Kingdom,#####,11,9,2,81.818,18.182
United Kingdom,#####,5,3,2,60,40
United Kingdom,#####,1127178,1101870,25308,97.755,2.245
United Kingdom,#####,78419,75366,3053,96.107,3.893
United Kingdom,#####,20,20,0,100,0
United States of America,#####,119,95,24,79.832,20.168
United States of America,#####,552,371,181,67.21,32.79
United States of America,#####,5995,4077,1918,68.007,31.993
United States of America,#####,33,32,1,96.97,3.03
United States of America,#####,1449,1214,235,83.782,16.218
Uruguay,#####,47,30,17,63.83,36.17
Uruguay,#####,36,15,21,41.667,58.333
Uzbekistan,#####,1,1,0,100,0
Vanuatu,#####,2,2,0,100,0
Viet Nam,#####,1831122,1824452,6670,99.636,0.364
Viet Nam,#####,16,16,0,100,0
Viet Nam,#####,5,3,2,60,40
Viet Nam,#####,4437,4135,302,93.194,6.806
Viet Nam,#####,2374265,2365523,8742,99.632,0.368
Viet Nam,#####,46,29,17,63.043,36.957
Viet Nam,#####,19250,19201,49,99.745,0.255
Zambia,#####,2648,2488,160,93.958,6.042
Zambia,#####,9362,8501,861,90.803,9.197
Zambia,#####,10,9,1,90,10
Zambia,#####,10494,10347,147,98.599,1.401
Zambia,#####,167,84,83,50.299,49.701
Zambia,#####,87,72,15,82.759,17.241
Zimbabwe,#####,78620,77597,1023,98.699,1.301
